id,account_id,open_time,close_time,profit,volume,symbol,trade_type,entry_price,exit_price,ticket,open_hour,day_of_week,duration_min,avg_vol_10,vol_ratio,is_revenge,is_fomo,is_size_drift,any_flag,date
1024,9,2026-03-01 15:11:00+00:00,2026-03-01 17:55:00+00:00,-42.6,0.01,EURUSD,SELL,1.15661,1.15995,200000024,15,Sunday,164.0,0.01,1.0,False,False,False,False,2026-03-01
1059,9,2026-03-03 15:22:00+00:00,,0.0,0.01,EURUSD,SELL,1.15016,,200000059,15,Tuesday,,0.01,1.0,False,False,False,False,2026-03-03
1043,9,2026-03-05 12:03:00+00:00,2026-03-05 13:27:00+00:00,45.24,0.01,EURUSD,BUY,1.15207,1.15435,200000043,12,Thursday,84.0,0.01,1.0,False,False,False,False,2026-03-05
1053,9,2026-03-07 13:12:00+00:00,2026-03-07 15:33:00+00:00,18.31,0.05,EURUSD,BUY,1.15516,1.15164,200000053,13,Saturday,141.0,0.02,2.5,False,False,True,True,2026-03-07
1028,9,2026-03-08 06:02:00+00:00,2026-03-08 06:39:00+00:00,40.37,0.01,EURUSD,SELL,1.1567,1.16931,200000028,6,Sunday,37.0,0.018,0.5555555555555556,False,False,False,False,2026-03-08
1037,9,2026-03-08 20:43:00+00:00,2026-03-08 22:30:00+00:00,1.61,0.01,EURUSD,BUY,1.15074,1.15423,200000037,20,Sunday,107.0,0.016666666666666666,0.6,False,False,False,False,2026-03-08
1048,9,2026-03-09 02:48:00+00:00,2026-03-09 03:28:00+00:00,66.11,0.01,EURUSD,BUY,1.16176,1.15104,200000048,2,Monday,40.0,0.015714285714285715,0.6363636363636364,False,False,False,False,2026-03-09
1041,9,2026-03-12 15:50:00+00:00,2026-03-12 18:59:00+00:00,-3.52,0.01,EURUSD,SELL,1.157,1.1575,200000041,15,Thursday,189.0,0.015,0.6666666666666667,False,False,False,False,2026-03-12
1056,9,2026-03-13 17:27:00+00:00,2026-03-13 19:59:00+00:00,65.85,0.01,EURUSD,BUY,1.15346,1.15785,200000056,17,Friday,152.0,0.014444444444444446,0.6923076923076923,False,False,False,False,2026-03-13
1012,9,2026-03-14 06:26:00+00:00,2026-03-14 06:45:00+00:00,8.98,0.01,EURUSD,BUY,1.1537,1.14917,200000012,6,Saturday,19.0,0.014000000000000002,0.7142857142857142,False,False,False,False,2026-03-14
1005,9,2026-03-14 16:35:00+00:00,2026-03-14 18:51:00+00:00,29.92,0.01,EURUSD,SELL,1.15997,1.16789,200000005,16,Saturday,136.0,0.013999999999999999,0.7142857142857144,False,False,False,False,2026-03-14
1004,9,2026-03-14 17:57:00+00:00,2026-03-14 18:54:00+00:00,-14.96,0.01,EURUSD,BUY,1.15965,1.15011,200000004,17,Saturday,57.0,0.014000000000000002,0.7142857142857142,False,False,False,False,2026-03-14
1008,9,2026-03-15 12:00:00+00:00,,0.0,0.01,EURUSD,SELL,1.14462,,200000008,12,Sunday,,0.014000000000000002,0.7142857142857142,False,False,False,False,2026-03-15
1051,9,2026-03-16 20:04:00+00:00,2026-03-16 20:33:00+00:00,38.81,0.01,EURUSD,BUY,1.15525,1.15229,200000051,20,Monday,29.0,0.01,1.0,False,False,False,False,2026-03-16
1044,9,2026-03-20 11:49:00+00:00,2026-03-20 12:26:00+00:00,100.32,0.1,EURUSD,SELL,1.1562,1.14424,200000044,11,Friday,37.0,0.019,5.2631578947368425,False,False,True,True,2026-03-20
